mergedTuple,Entry,KE (MeV),px,py,pz,KE,px,py,pz
86,29,3311.03,-372.06,151.75,3390.69,263.28,661.99,-158,316.27
86,31,2490.84,487.06,-231.03,2537.07,216.18,-448.38,19.44,500.86
86,32,5949.95,198.14,-533.54,6027.23,330.36,-415.79,204.04,717.2
86,33,3685.1,-243.22,-375.14,3762.17,326.04,580.54,362.04,499.86
86,35,5562.46,-230.52,-369.92,5649.7,298.84,425.81,275.06,626.87
86,36,6085.88,670.44,41.88,6153.43,211.66,-186.13,479.13,421.49
86,37,3843.25,197.84,-410.72,3920.43,123.05,-90.16,419.83,248.16
86,38,5535.58,472.58,143.27,5617.94,305.71,-80.54,280.54,762.74
86,39,4672.59,557.18,-310.85,4733.63,123.48,-357.79,221.35,264.37
86,40,2796.99,-448.43,-148.52,2861.35,173.54,234.57,346.45,425.01
86,43,5965.8,484.2,380.49,6038.58,109.17,-93.02,-318.73,326.31
86,44,6529.26,641.66,-84.51,6601.78,207,-528.62,230.74,313.86
87,0,6219.11,431.49,-177.76,6306,309.33,-754.9,178.3,272.65
87,1,2676.52,571.07,255.77,2708.19,187.86,-155.81,-254.43,546.55
87,3,3730.08,319.14,-513.64,3785.65,270.53,-524.69,445.43,327.11
87,4,3627.31,489.28,-52.56,3698.24,170.65,-505.1,104.47,288.47
87,5,5378.56,44.09,752.62,5430.47,161.39,104.3,-445.33,345.86
87,6,5448,0.22,599.11,5519.59,191.62,-90.25,-340.35,521.73
87,7,4312.47,-446.23,444.16,4371.11,393.08,707.29,-160.89,604.79
87,8,5568.19,633.08,81.98,5636.18,178.21,-412.12,130.74,423.26
87,9,3049.16,162.02,451.55,3115.7,141.5,-56.63,-457.92,269.41
87,10,5103.65,-96.02,-576.17,5174.73,234.84,24.1,503.53,491.51
87,13,3422.93,94.17,542.46,3483.12,252.43,66.37,-119.47,720.13
87,14,1626.99,-58.55,-560.67,1634.31,633.98,493.41,529.86,1032.99
87,17,5538.1,-37.41,-629.2,5606.8,153.04,49.02,459.5,311.43
87,18,6460.56,69.39,-599.87,6536.89,370.88,69.11,319.81,852.22
87,20,3849.93,192.53,-494.68,3917.74,211.38,-193.84,393.74,498.63
87,21,3975.39,-539.94,-371.07,4026.08,212.92,-459.02,-163.36,455.4
87,22,4713.46,98.21,-531.91,4786.85,150.51,-401.34,-150.46,348.29
87,23,3508.69,-390.02,280.04,3580.11,284.94,584.4,-388.73,350.85
87,25,2386.85,640.01,146.14,2401.53,211.59,-302.45,-257.88,532.67
87,26,4884.91,-482.37,164.56,4962.7,137.35,288.3,-348.29,268.54
87,28,5929.12,-200.91,574.49,6002.44,176.01,-89.37,-126.56,580.67
87,30,3040.3,177.83,401.04,3112.79,208.72,88.51,-250.69,603.7
87,31,5979.75,-63.15,56.02,6083.26,253.62,-537.3,35.34,500.18
87,33,2709.17,228.09,-409.37,2772.89,206.82,-335.82,516.45,226.45
87,35,5552.59,-174.16,618.56,5619.99,165.89,273.52,-452.62,243.01
87,38,2967.75,-283.73,-498.17,3016.96,130.25,203.89,405.24,235.63
87,39,4758.88,654.93,-218.65,4813.47,90.6,-232.02,-87.16,341.67
87,41,5898.37,398.86,-457.33,5971.7,351.11,-322.36,711.43,414.62
87,42,3655.93,272.38,526.59,3712.43,214.65,-123.99,-565.36,337.27
87,44,2844.59,-43.63,606.9,2884.24,432.51,538.78,-648.93,535.79
87,45,4715.49,396.55,-542.96,4772.22,199.7,-372.39,475.06,223.98
87,46,2699.91,313.95,-490.16,2741.84,216.99,-269.72,515.3,340.42
87,49,3509.61,-462.07,409.19,3559.97,149.15,77.41,-402.93,365.65
87,50,3837.12,63.97,-476.21,3911.32,155.41,-158.92,233.7,485.63
88,0,6553.66,455.44,288.88,6635.95,326.27,-538.56,-417.35,504.28
88,2,2843.03,-117.03,439.66,2910.82,281.01,-107.76,-448.03,627.54
88,4,5986.04,286.96,454.65,6066.35,214.59,-485.27,-329.37,323.49
88,5,5822.1,-331.9,-542.56,5891.94,304.79,298.3,686.48,323.2
88,7,152.26,412.22,179.17,326.81,176.9,253.05,-380.74,392.64
88,11,4721.54,26.6,-586.26,4789.58,118.85,-66.21,403.62,264.17
88,16,5588.68,-318.06,453.81,5665.67,183.31,256.37,-333.04,448.16
88,18,5793.88,-106.04,-475.54,5877.79,264.98,143.76,496.12,548.19
88,20,3834,657.24,-29.46,3882.25,218.62,-383.76,-217.39,513.21
88,23,5943.08,604.59,-149.85,6015,275.82,-242.13,-135.62,718.67
88,25,1726.03,555.87,56.63,1740.53,185.57,-451.62,1.23,422.61
92,1,3864.86,24.19,-363.62,3951.7,353.52,147.9,535.32,692.63
92,2,4425.04,517.94,101.23,4497.97,206.91,-475.37,16.04,452.47
92,4,5470.79,-520.56,125.65,5549.02,288.44,613.73,-83.32,490.61
92,7,6088.61,483.3,-119.76,6172.68,180.21,-519.97,-116.76,294.19
