mergedTuple,Entry,Bg=1,Slice No.,KE (MeV),v/c,px,py,pz,KE,v/c,px,py,pz
83,28,,2,3155.990361,0.999481484,-77.00443319,-456.2939657,3226.282577,182.3482162,0.546836074,-329.7569639,6.351781918,516.2907371
83,29,,7,347.4817372,0.683780741,-678.4229096,-85.63217333,552.2941095,3239.811204,0.999507153,645.7490035,-215.0888186,3273.145584
83,30,,1,3825.564737,0.999643125,347.9341085,407.9244647,3892.409747,205.6831103,0.572138163,-378.7730228,-345.4172474,406.6755208
83,31,,12,3436.204027,0.999560315,-364.1052408,-179.7523398,3516.278918,129.2388405,0.476999538,409.9678806,164.6206604,252.9448907
83,32,,4,5744.910683,0.999838904,642.1614921,58.67214011,5813.313702,361.1050267,0.691855967,-609.4936348,-23.82906511,660.1360128
83,33,1,,,,,,,,,,,
83,34,,3,2669.422559,0.999283594,185.7476807,498.259345,2720.961403,329.1964169,0.672368336,-102.4038986,-527.8062062,660.966572
83,35,1,,,,,,,,,,,
83,36,1,,,,,,,,,,,
83,37,1,,,,,,,,,,,
83,38,1,,,,,,,,,,,
83,39,1,,,,,,,,,,,
83,40,,1,5091.603255,0.999795848,580.1212654,-361.8142401,5150.360197,386.1974989,0.70585781,-581.3864455,512.6067358,522.3783604
83,41,,9,1957.750568,0.998703607,133.1211887,-659.8404564,1946.998774,262.8501044,0.624389299,-279.6762804,615.2048792,324.8093411
